square,Area,PP_ar_tx
31E9,1,4
31F0,1,4
31F1,1,4
31F2,1,4
31F3,1,5
31F4,1,5
32E9,1,4
32F0,1,4
32F1,1,4
32F2,1,4
32F3,1,5
32F4,1,5
32F5,1,5
32F6,,999
33E9,1,4
33F0,1,4
33F1,1,4
33F2,1,4
33F3,1,5
33F4,1,5
33F5,1,5
34E9,1,4
34F0,1,4
34F1,1,4
34F2,1,4
34F3,1,5
34F4,1,5
34F5,1,5
34F6,1,999
34F7,,999
35E9,1,4
35F0,1,4
35F1,1,4
35F2,1,4
35F3,1,5
35F4,1,5
35F5,1,5
35F6,1,6
35F7,2,6
35F8,2,6
36E9,1,4
36F0,1,4
36F1,1,4
36F2,1,4
36F3,1,5
36F4,1,5
36F5,1,5
36F6,1,6
36F7,2,6
36F8,2,6
36F9,2,999
37E9,1,1A
37F0,1,1A
37F1,1,1A
37F2,1,1A
37F3,1,2A
37F4,1,2A
37F5,1,2A
37F6,1,6
37F7,2,6
37F8,2,6
38E7,4,1A
38E8,4,1A
38E9,4,1A
38F0,1,1A
38F1,1,1A
38F2,1,1A
38F3,1,2A
38F4,1,2A
38F5,1,2A
38F6,2,6
38F7,2,6
38F8,2,6
38F9,,999
38G0,,999
38G2,,999
38G4,,999
38I9,,999
39E2,,999
39E7,4,999
39E8,4,1A
39E9,4,1A
39F0,1,1A
39F1,1,1A
39F2,1,1A
39F3,1,2A
39F4,1,2A
39F5,1,2A
39F6,2,6
39F7,2,6
39F8,2,6
39G2,,999
39G4,,999
39G5,,999
40E7,4,1A
40E8,4,1A
40E9,4,1A
40F0,1,1A
40F1,1,1A
40F2,1,1A
40F3,1,2A
40F4,1,2A
40F5,1,2A
40F6,2,6
40F7,2,6
40F8,2,6
40F9,,6
41E6,4,1A
41E7,4,1A
41E8,4,1A
41E9,4,1A
41F0,4,1A
41F1,3,1A
41F2,3,1A
41F3,3,2A
41F4,1,2A
41F5,1,2A
41F6,2,3
41F7,2,3
41F8,2,3
41F9,,3AS
41G0,6,3AS
41G1,6,3AS
41G2,6,3AS
41G3,6,999
42E6,4,1B
42E7,4,1B
42E8,4,1B
42E9,4,1B
42F0,4,1B
42F1,3,1B
42F2,3,2B
42F3,3,2B
42F4,3,2B
42F5,3,2B
42F6,2,3
42F7,2,3
42F8,2,3
42F9,2,999
42G0,6,3AS
42G1,6,3AS
42G2,6,3AS
42G3,6,999
42I9,,999
43E6,4,1B
43E7,4,1B
43E8,4,1B
43E9,4,1B
43F0,4,1B
43F1,3,1B
43F2,3,2B
43F3,3,2B
43F4,3,2B
43F5,3,2B
43F6,3,3
43F7,2,3
43F8,2,3AN
43F9,2,3AN
43G0,6,3AS
43G1,6,3AS
43G2,6,3AS
43G3,6,999
44E5,4,999
44E6,4,1B
44E7,4,1B
44E8,4,1B
44E9,4,1B
44F0,4,1B
44F1,3,1B
44F2,3,2B
44F3,3,2B
44F4,3,2B
44F5,3,2B
44F6,3,3
44F7,3,3AN
44F8,3,3AN
44F9,2,3AN
44G0,2,3AN
44G1,6,3AS
45E6,4,1B
45E7,4,1B
45E8,4,1B
45E9,4,1B
45F0,4,1B
45F1,3,1B
45F2,3,2B
45F3,3,2B
45F4,3,2B
45F5,3,2B
45F6,3,3
45F7,3,3AN
45F8,3,3AN
45F9,3,3AN
45G0,2,3AN
45G1,2,3AN
46E6,4,1B
46E7,4,1B
46E8,4,1B
46E9,4,1B
46F0,4,1B
46F1,3,1B
46F2,3,2B
46F3,3,2B
46F4,3,2B
46F5,3,2B
46F6,3,2B
46F8,3,3AN
46F9,3,3AN
46G0,3,3AN
46G1,2,3AN
47E6,7,12C
47E7,7,SH
47E8,7,SH
47E9,7,SH
47F0,7,12C
47F1,5,12C
47F2,5,12C
47F3,5,12C
47F4,5,12C
47F5,5,12C
47F6,5,999
47F7,,999
47G0,3,3AN
48E6,7,12C
48E7,7,SH
48E8,7,SH
48E9,7,SH
48F0,7,12C
48F1,5,12C
48F2,5,12C
48F3,5,12C
48F4,5,12C
48F5,5,12C
48F6,5,999
48G0,3,3AN
49E6,7,12C
49E7,7,SH
49E8,7,SH
49E9,7,SH
49F0,7,12C
49F1,5,12C
49F2,5,12C
49F3,5,12C
49F4,5,12C
49F5,5,12C
49F6,5,999
50E6,7,12C
50E7,7,SH
50E8,7,SH
50E9,7,SH
50F0,7,12C
50F1,5,12C
50F2,5,12C
50F3,5,12C
50F4,5,12C
50F5,5,12C
51E6,7,12C
51E7,7,SH
51E8,7,SH
51E9,7,SH
51F0,7,12C
51F1,5,12C
51F2,5,12C
51F3,5,12C
51F4,5,12C
51F5,5,12C
52E6,7,12C
52E7,7,12C
52E8,7,12C
52E9,7,12C
52F0,7,12C
52F1,5,12C
52F2,5,12C
52F3,5,12C
52F4,5,12C
52F5,5,12C
