area3,Area,area2,Square
OUT,,,
OUT,4894,4792,28E5
OUT,4896,4796,28E6
OUT,4996,4996,29E6
OUT,4996,4996,29E7
OUT,4998,4996,29E8
OUT,5100,5000,31F0
IV,5100,5000,31F1
IV,5102,5000,31F2
IV,5102,5000,31F3
IV,5100,5000,32F0
IV,5100,5000,32F1
IV,5102,5000,32F2
IV,5102,5000,32F3
OUT,5104,5004,32F4
IV,5200,5200,33F1
IV,5202,5200,33F2
IV,5202,5200,33F3
IV,5204,5204,33F4
IV,5204,5204,33F5
IV,5200,5200,34F0
IV,5200,5200,34F1
IV,5202,5200,34F2
IV,5202,5200,34F3
IV,5204,5204,34F4
IV,5204,5204,34F5
IV,5300,5200,35F0
IV,5300,5200,35F1
IV,5302,5200,35F2
IV,5302,5200,35F3
IV,5304,5204,35F4
IV,5304,5204,35F5
IV,5306,5204,35F6
IV,5306,5204,35F7
IV,5298,5196,36E9
IV,5300,5200,36F0
IV,5300,5200,36F1
IV,5302,5200,36F2
IV,5302,5200,36F3
IV,5304,5204,36F4
IV,5304,5204,36F5
IV,5306,5204,36F6
IV,5306,5204,36F7
IV,5308,5208,36F8
IV,5308,5208,36F9
IV,5398,5396,37E9
IV,5400,5400,37F0
IV,5400,5400,37F1
IV,5402,5400,37F2
IV,5402,5400,37F3
IV,5404,5404,37F4
IV,5404,5404,37F5
IV,5406,5404,37F6
IV,5406,5404,37F7
IV,5408,5408,37F8
IV,5398,5396,38E8
IV,5398,5396,38E9
IV,5400,5400,38F0
IV,5400,5400,38F1
IV,5402,5400,38F2
IV,5402,5400,38F3
IV,5404,5404,38F4
IV,5404,5404,38F5
IV,5406,5404,38F6
IV,5406,5404,38F7
IV,5408,5408,38F8
IV,5498,5396,39E8
IV,5498,5396,39E9
IV,5500,5400,39F0
IV,5500,5400,39F1
IV,5502,5400,39F2
IV,5502,5400,39F3
IV,5504,5404,39F4
IV,5504,5404,39F5
IV,5506,5404,39F6
IV,5506,5404,39F7
IV,5508,5408,39F8
IV,5496,5396,40E7
IV,5498,5396,40E8
IV,5498,5396,40E9
IV,5500,5400,40F0
IV,5500,5400,40F1
IV,5502,5400,40F2
IV,5502,5400,40F3
IV,5504,5404,40F4
IV,5504,5404,40F5
IV,5506,5404,40F6
IV,5506,5404,40F7
IV,5508,5408,40F8
IV,5596,5596,41E6
IV,5596,5596,41E7
IV,5598,5596,41E8
IV,5598,5596,41E9
IV,5600,5600,41F0
IV,5600,5600,41F1
IV,5602,5600,41F2
IV,5602,5600,41F3
IV,5604,5604,41F4
IV,5604,5604,41F5
IV,5606,5604,41F6
IV,5606,5604,41F7
IV,5608,5608,41F8
IV,5610,5608,41G0
IV,5610,5608,41G1
IV,5612,5612,41G2
IV,5596,5596,42E7
IV,5598,5596,42E8
IV,5598,5596,42E9
IV,5600,5600,42F0
IV,5600,5600,42F1
IV,5602,5600,42F2
IV,5602,5600,42F3
IV,5604,5604,42F4
IV,5604,5604,42F5
IV,5606,5604,42F6
IV,5606,5604,42F7
IV,5608,5608,42F8
OUT,5608,5608,42F9
IV,5610,5608,42G0
IV,5610,5608,42G1
IV,5612,5612,42G2
IV,5696,5596,43E7
IV,5698,5596,43E8
IV,5698,5596,43E9
IV,5700,5600,43F0
IV,5700,5600,43F1
IV,5702,5600,43F2
IV,5702,5600,43F3
IV,5704,5604,43F4
IV,5704,5604,43F5
IV,5706,5604,43F6
IV,5706,5604,43F7
IV,5708,5608,43F8
IV,5708,5608,43F9
IV,5710,5608,43G0
IV,5710,5608,43G1
